,id,dp_fluid,hr_fluid_kw,dp_air,hr_air_kw
212,212,45.93015,6.24996,715.37115,6.65419
213,213,45.89724,6.27068,708.58832,6.65465
214,214,45.71219,6.22513,722.57733,6.65948
215,215,45.87598,6.22311,710.02167,6.54824
216,216,45.8493,6.22954,720.36853,6.56151
217,217,45.93359,6.23703,709.90076,6.60451
218,218,45.89544,6.21155,717.57642,6.57671
219,219,45.85307,6.20356,722.50977,6.53679
220,220,45.95785,6.21061,718.01038,6.49488
221,221,45.84832,6.23736,713.82037,6.49012
222,222,45.86913,6.22587,722.14343,6.51417
223,223,45.95519,6.24022,732.82813,6.55926
224,224,46.00948,6.22208,717.33813,6.5582
225,225,45.87032,6.24168,717.04645,6.42506
226,226,45.84778,6.24441,722.82275,6.41283
227,227,45.86487,6.23197,715.61304,6.42731
228,228,45.95752,6.2211,727.47864,6.46107
229,229,45.76751,6.22037,715.46722,6.46468
230,230,45.94175,6.21041,720.43256,6.4617
231,231,45.90093,6.20012,721.43915,6.28373
232,232,45.89294,6.21022,719.47931,6.28609
233,233,45.84139,6.21947,721.41779,6.31293
234,234,45.88343,6.24745,713.75995,6.31838
235,235,45.87856,6.24477,719.18054,6.34493
236,236,45.9263,6.24635,740.02716,6.34503
237,237,45.93867,6.27676,728.89075,6.34577
238,238,45.91527,6.24791,722.64136,6.33086
239,239,45.86049,6.21513,721.81262,6.32185
240,240,45.75837,6.26236,731.45874,6.35278
241,241,45.81135,6.25346,723.85425,6.34912
242,242,45.81254,6.22779,711.56891,6.32684
243,243,45.94814,6.19782,713.32599,6.33652
244,244,45.83086,6.23963,719.36908,6.3208
245,245,45.87942,6.20713,718.11707,6.32357
246,246,45.76788,6.23209,716.90417,6.3063
247,247,45.89134,6.23826,716.74054,6.30868
248,248,45.90315,6.2187,725.42993,6.36908
249,249,45.9256,6.23052,719.32281,6.37974
250,250,45.8922,6.24472,709.63397,6.34528
251,251,45.82348,6.19261,724.49091,6.36874
252,252,45.84074,6.20767,721.20441,6.39724
253,253,45.89938,6.2345,726.8313,6.41392
254,254,45.87917,6.23395,722.8299,6.3866
255,255,45.97228,6.21544,722.93658,6.41795
256,256,45.96146,6.22662,730.03961,6.39487
257,257,45.9574,6.19282,726.19464,6.3944
258,258,45.77542,6.20546,721.89441,6.39432
259,259,45.79152,6.19555,738.45508,6.36373
260,260,46.05046,6.21842,733.52527,6.36465
261,261,45.92867,6.21121,719.57892,6.22253
262,262,45.74595,6.20492,724.80035,6.1555
263,263,45.96789,6.21851,718.55103,6.13299
264,264,45.89864,6.21619,726.73529,6.13414
265,265,45.82779,6.23992,720.05908,6.13218
266,266,45.98309,6.19948,725.21295,6.14346
267,267,46.02702,6.21621,732.41199,6.20078
268,268,45.89208,6.20272,718.9458,6.1697
269,269,45.94613,6.20078,726.26221,6.15823
270,270,45.81963,6.20304,720.2547,6.17389
271,271,45.94474,6.17886,728.54926,6.17225
272,272,45.84721,6.2025,716.9931,6.14917
273,273,45.96818,6.20686,721.44269,6.1587
274,274,45.91687,6.20548,724.64032,6.15686
275,275,45.97043,6.18741,723.8009,6.14753
276,276,45.71645,6.18237,725.25922,6.13462
277,277,45.93433,6.19896,726.4223,6.1284
278,278,46.06874,6.20449,741.53882,6.17114
279,279,45.90171,6.24392,731.10309,6.1731
280,280,45.86692,6.19348,720.59259,6.17849
281,281,45.83524,6.20194,728.41766,6.16649
282,282,45.89462,6.19076,727.49646,6.14199
283,283,45.89097,6.19497,732.42267,6.13637
284,284,45.9422,6.19351,722.08295,6.13691
285,285,45.87602,6.17592,715.60596,6.11759
286,286,45.89216,6.17753,728.75555,6.12679
287,287,45.92499,6.16926,729.7337,6.16946
288,288,45.97727,6.16939,722.86902,6.18087
289,289,45.99649,6.20379,722.69116,6.09897
290,290,45.97576,6.16741,712.40833,6.05838
291,291,45.86811,6.16059,711.53693,6.07001
292,292,46.00043,6.16949,719.48291,6.10545
293,293,45.90835,6.15805,715.11865,6.10936
294,294,46.01215,6.17706,717.40216,6.10583
295,295,45.9751,6.16745,718.05658,6.09015
296,296,45.99756,6.16912,723.22113,6.12385
297,297,45.85168,6.16534,726.33337,6.08954
298,298,45.91835,6.16798,728.94049,6.06713
299,299,45.99957,6.16573,729.22864,6.09771
300,300,45.83147,6.18712,721.05145,6.12095
301,301,46.00965,6.15841,721.88733,6.11475
302,302,45.95982,6.17113,719.28015,6.11764
303,303,46.10082,6.14872,721.27551,6.11254
304,304,46.11463,6.16473,717.46619,6.11871
305,305,46.03399,6.18596,727.32214,6.16578
306,306,45.95769,6.17143,724.14233,6.13824
307,307,46.04837,6.2037,722.34259,6.11832
308,308,46.03727,6.17196,732.05634,6.13044
309,309,45.99563,6.16971,725.17383,6.11483
